timestamp,value1,value2,value3,value4,value5
5th January 2020,"[b'\\U0001f61c', b'\\U0001f44a', b'\\U0001f616', b'\\U0001f353', b'\\U0001f428']"

4th January 2020,"[b'\\U0001f636', b'\\U0001f642', b'\\U0001f914', b'\\U0001f603', b'\\U0001f60e']"

3rd January 2020,"[b'\\U0001f47b', b'\\U0001f437', b'\\U0001f416', b'\\U0001f915', b'\\U0001f426']"

2nd January 2020,"[b'\\U0001f911', b'\\U0001f618', b'\\U0001f917', b'\\U0001f914', b'\\U0001f624']"

1st January 2020,"[b'\\U0001f602', b'\\U0001f618', b'\\U0001f407', b'\\U0001f460', b'\\U0001f41d']"

31st December 2019,"[b'\\U0001f60a', b'\\U0001f914', b'\\U0001f60e', b'\\U0001f911', b'\\U0001f60d']"

30th December 2019,"[b'\\U0001f3a7', b'\\U0001f4a4', b'\\U0001f4fc', b'\\U0001f415', b'\\U0001f913']"

29th December 2019,"[b'\\U0001f914', b'\\U0001f601', b'\\U0001f606', b'\\U0001f911', b'\\U0001f913']"

28th December 2019,"[b'\\U0001f60d', b'\\U0001f601', b'\\U0001f60e', b'\\U0001f642', b'\\U0001f61d']"

27th December 2019,"[b'\\U0001f602', b'\\U0001f60a', b'\\U0001f60d', b'\\U0001f913', b'\\U0001f61c']"

26th December 2019,"[b'\\U0001f602', b'\\U0001f60a', b'\\U0001f607', b'\\U0001f642', b'\\U0001f60e']"

25th December 2019,"[b'\\U0001f608', b'\\U0001f448', b'\\U0001f430', b'\\U0001f441', b'\\U0001f426']"

24th December 2019,"[b'\\U0001f436', b'\\U0001f418', b'\\U0001f355', b'\\U0001f61b', b'\\U0001f606']"

23rd December 2019,"[b'\\U0001f643', b'\\U0001f61c', b'\\U0001f619', b'\\U0001f636', b'\\U0001f602']"

22nd December 2019,"[b'\\U0001f917', b'\\U0001f430', b'\\U0001f415', b'\\U0001f353', b'\\u2764']"

21st December 2019,"[b'\\U0001f913', b'\\U0001f60e', b'\\U0001f628', b'\\U0001f436', b'\\U0001f405']"

20th December 2019,"[b'\\U0001f61c', b'\\U0001f618', b'\\U0001f608', b'\\U0001f60a', b'\\U0001f644']"

19th December 2019,"[b'\\U0001f60d', b'\\U0001f618', b'\\U0001f601', b'\\U0001f643', b'\\U0001f60b']"

18th December 2019,"[b'\\U0001f60d', b'\\U0001f618', b'\\U0001f643', b'\\U0001f602', b'\\U0001f917']"

17th December 2019,"[b'\\U0001f600', b'\\U0001f603', b'\\U0001f618', b'\\U0001f619', b'\\U0001f917']"

16th December 2019,"[b'\\U0001f643', b'\\U0001f60d', b'\\U0001f607', b'\\U0001f600', b'\\U0001f618']"

15th December 2019,"[b'\\U0001f911', b'\\U0001f60d', b'\\U0001f600', b'\\U0001f596', b'\\U0001f340']"

14th December 2019,"[b'\\U0001f47b', b'\\U0001f642', b'\\U0001f389', b'\\U0001f618', b'\\U0001f431']"

13th December 2019,"[b'\\U0001f602', b'\\U0001f60d', b'\\U0001f4a9', b'\\U0001f911', b'\\U0001f61d']"

12th December 2019,"[b'\\U0001f633', b'\\U0001f635', b'\\U0001f438', b'\\U0001f31e', b'\\U0001f336']"

11th December 2019,"[b'\\U0001f917', b'\\U0001f61c', b'\\U0001f60b', b'\\U0001f607', b'\\U0001f911']"

10th December 2019,"[b'\\U0001f917', b'\\U0001f60d', b'\\U0001f914', b'\\U0001f911', b'\\U0001f595']"

9th December 2019,"[b'\\U0001f618', b'\\U0001f61c', b'\\U0001f602', b'\\U0001f609', b'\\U0001f60d']"

8th December 2019,"[b'\\U0001f60a', b'\\U0001f60d', b'\\U0001f607', b'\\U0001f604', b'\\U0001f60a']"

7th December 2019,"[b'\\U0001f618', b'\\U0001f60a', b'\\U0001f914', b'\\U0001f60e', b'\\U0001f427']"

6th December 2019,"[b'\\U0001f913', b'\\U0001f608', b'\\U0001f47b', b'\\U0001f431', b'\\U0001f43c']"

5th December 2019,"[b'\\U0001f60d', b'\\U0001f602', b'\\U0001f609', b'\\U0001f618', b'\\U0001f619']"

4th December 2019,"[b'\\U0001f911', b'\\U0001f617', b'\\U0001f618', b'\\U0001f607', b'\\U0001f60b']"

3rd December 2019,"[b'\\U0001f60d', b'\\U0001f635', b'\\U0001f61c', b'\\U0001f60a', b'\\U0001f419']"

2nd December 2019,"[b'\\U0001f60d', b'\\U0001f602', b'\\U0001f607', b'\\U0001f436', b'\\U0001f606']"

1st December 2019,"[b'\\U0001f61a', b'\\U0001f436', b'\\U0001f61c', b'\\U0001f389', b'\\U0001f353']"

30th November 2019,"[b'\\U0001f60d', b'\\U0001f91e', b'\\U0001f47b', b'\\U0001f984', b'\\U0001f369']"

29th November 2019,"[b'\\U0001f914', b'\\U0001f636', b'\\U0001f61d', b'\\U0001f617', b'\\U0001f643']"

28th November 2019,"[b'\\U0001f984', b'\\U0001f913', b'\\U0001f3f3\\U0001f308', b'\\U0001f61d', b'\\U0001f426']"

27th November 2019,"[b'\\U0001f607', b'\\U0001f60d', b'\\U0001f61c', b'\\U0001f913', b'\\U0001f914']"

26th November 2019,"[b'\\U0001f60d', b'\\U0001f61c', b'\\U0001f618', b'\\U0001f61d', b'\\U0001f60b']"

25th November 2019,"[b'\\U0001f31c', b'\\U0001f6f0', b'\\U0001f631', b'\\U0001f32d', b'\\U0001f433']"

24th November 2019,"[b'\\U0001f60d', b'\\U0001f61c', b'\\U0001f618', b'\\U0001f407', b'\\U0001f415']"

23rd November 2019,"[b'\\U0001f607', b'\\U0001f602', b'\\U0001f643', b'\\U0001f617', b'\\U0001f917']"

22nd November 2019,"[b'\\U0001f618', b'\\U0001f602', b'\\U0001f60a', b'\\U0001f61d', b'\\U0001f911']"

21st November 2019,"[b'\\U0001f4a9', b'\\U0001f431', b'\\U0001f984', b'\\U0001f351', b'\\U0001f346']"

20th November 2019,"[b'\\U0001f914', b'\\U0001f47b', b'\\U0001f419', b'\\U0001f438', b'\\U0001f988']"

19th November 2019,"[b'\\U0001f600', b'\\U0001f601', b'\\U0001f642', b'\\U0001f60e', b'\\U0001f914']"

18th November 2019,"[b'\\U0001f61c', b'\\U0001f60d', b'\\U0001f422', b'\\U0001f353', b'\\U0001f4b7']"

17th November 2019,"[b'\\U0001f601', b'\\U0001f607', b'\\U0001f60d', b'\\U0001f917', b'\\U0001f60e']"

16th November 2019,"[b'\\U0001f600', b'\\U0001f911', b'\\U0001f60e', b'\\U0001f618', b'\\U0001f61d']"

15th November 2019,"[b'\\U0001f600', b'\\U0001f61c', b'\\U0001f60d', b'\\U0001f60e', b'\\U0001f47b']"

14th November 2019,"[b'\\U0001f600', b'\\U0001f412', b'\\U0001f340', b'\\U0001f353', b'\\U0001f48e']"

13th November 2019,"[b'\\U0001f600', b'\\U0001f60d', b'\\U0001f601', b'\\U0001f609', b'\\U0001f917']"

12th November 2019,"[b'\\U0001f609', b'\\U0001f60e', b'\\U0001f60d', b'\\U0001f607', b'\\U0001f914']"

11th November 2019,"[b'\\U0001f642', b'\\U0001f607', b'\\U0001f609', b'\\U0001f60d', b'\\U0001f914']"

10th November 2019,"[b'\\U0001f60d', b'\\U0001f917', b'\\U0001f4a9', b'\\U0001f427', b'\\U0001f425']"

