timestamp,value1,value2,value3,value4,value5
24th July 2019,"[b'\\U0001f600', b'\\U0001f602', b'\\U0001f618', b'\\U0001f606', b'\\U0001f642']"

23rd July 2019,"[b'\\U0001f60d', b'\\U0001f616', b'\\U0001f419', b'\\U0001f421', b'\\U0001f3f3\\U0001f308']"

22nd July 2019,"[b'\\U0001f914', b'\\U0001f616', b'\\U0001f60a', b'\\U0001f642', b'\\U0001f60e']"

21st July 2019,"[b'\\U0001f600', b'\\U0001f618', b'\\U0001f911', b'\\U0001f917', b'\\U0001f602']"

20th July 2019,"[b'\\U0001f911', b'\\U0001f619', b'\\U0001f61c', b'\\U0001f61d', b'\\U0001f349']"

19th July 2019,"[b'\\U0001f60e', b'\\U0001f607', b'\\U0001f60a', b'\\U0001f60d', b'\\U0001f425']"

